step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount
0,'C1093826151','4','M','28007','M348934600','28007','es_transportation',4.55
0,'C1207205377','4','M','28007','M1823072687','28007','es_transportation',17.54
0,'C2054744914','4','F','28007','M1823072687','28007','es_transportation',26.89
0,'C966214713','3','M','28007','M857378720','28007','es_hotelservices',337.41
0,'C757503768','5','M','28007','M348934600','28007','es_transportation',35.72
0,'C583110837','3','M','28007','M480139044','28007','es_health',44.26
0,'C986553990','5','F','28007','M348934600','28007','es_transportation',44.39
0,'C1160421902','3','M','28007','M857378720','28007','es_hotelservices',176.32
0,'C1760612790','3','M','28007','M348934600','28007','es_transportation',17.25
0,'C1450140987','4','F','28007','M1198415165','28007','es_wellnessandbeauty',220.11
0,'C60026962','2','F','28007','M1198415165','28007','es_wellnessandbeauty',4.32
0,'C1685492470','2','F','28007','M980657600','28007','es_sportsandtoys',278.02
0,'C1275518867','5','F','28007','M980657600','28007','es_sportsandtoys',69.53
0,'C1734487337','4','F','28007','M1741626453','28007','es_sportsandtoys',70.15
0,'C490238464','3','M','28007','M348934600','28007','es_transportation',13.56
0,'C194016923','3','F','28007','M348934600','28007','es_transportation',30.19
0,'C819690995','5','F','28007','M348934600','28007','es_transportation',30.72
0,'C834963773','5','F','28007','M348934600','28007','es_transportation',40.69
0,'C1897705669','2','M','28007','M348934600','28007','es_transportation',21.21
0,'C124539163','2','F','28007','M348934600','28007','es_transportation',10.09
0,'C1687101094','2','F','28007','M348934600','28007','es_transportation',19.31
0,'C1695454092','2','M','28007','M348934600','28007','es_transportation',44.22
0,'C1332295774','3','M','28007','M480139044','28007','es_health',324.5
0,'C819690995','5','F','28007','M348934600','28007','es_transportation',30.72
