CONCAT,postcode,Qtr,unit
BELLEVUE HILLhouse200803,2023,200803,0
BELLEVUE HILLhouse200804,2023,200804,0
BELLEVUE HILLhouse200901,2023,200901,0
BELLEVUE HILLhouse200902,2023,200902,0
BELLEVUE HILLhouse200903,2023,200903,0
BELLEVUE HILLhouse200904,2023,200904,0
BELLEVUE HILLhouse201004,2023,201004,0
BELLEVUE HILLhouse201003,2023,201003,0
BELLEVUE HILLhouse201002,2023,201002,0
BELLEVUE HILLhouse201101,2023,201101,0
BELLEVUE HILLhouse201904,2023,201904,0
BELLEVUE HILLhouse201001,2023,201001,0
BELLEVUE HILLhouse201804,2023,201804,0
BELLEVUE HILLhouse201102,2023,201102,0
BELLEVUE HILLhouse201903,2023,201903,0
BELLEVUE HILLhouse201103,2023,201103,0
BELLEVUE HILLhouse201104,2023,201104,0
BELLEVUE HILLhouse201901,2023,201901,0
BELLEVUE HILLhouse201902,2023,201902,0
BELLEVUE HILLhouse201704,2023,201704,0
DOVER HEIGHTShouse200804,2030,200804,0
BELLEVUE HILLhouse201604,2023,201604,0
BELLEVUE HILLhouse201703,2023,201703,0
BELLEVUE HILLhouse201803,2023,201803,0
DOVER HEIGHTShouse200903,2030,200903,0
DOVER HEIGHTShouse200902,2030,200902,0
BELLEVUE HILLhouse201504,2023,201504,0
DOVER HEIGHTShouse200801,2030,200801,0
DOVER HEIGHTShouse200802,2030,200802,0
DOVER HEIGHTShouse200803,2030,200803,0
BELLEVUE HILLhouse201802,2023,201802,0
VAUCLUSEhouse200804,2030,200804,0
VAUCLUSEhouse200801,2030,200801,0
VAUCLUSEhouse200802,2030,200802,0
VAUCLUSEhouse200803,2030,200803,0
BELLEVUE HILLhouse201503,2023,201503,0
BELLEVUE HILLhouse201203,2023,201203,0
BELLEVUE HILLhouse201201,2023,201201,0
BELLEVUE HILLhouse201202,2023,201202,0
BELLEVUE HILLhouse201603,2023,201603,0
DOVER HEIGHTShouse200904,2030,200904,0
BELLEVUE HILLhouse201204,2023,201204,0
BELLEVUE HILLhouse201602,2023,201602,0
BELLEVUE HILLhouse201702,2023,201702,0
BELLEVUE HILLhouse201801,2023,201801,0
BELLEVUE HILLhouse201601,2023,201601,0
DOVER HEIGHTShouse200901,2030,200901,0
BELLEVUE HILLhouse201701,2023,201701,0
VAUCLUSEhouse200904,2030,200904,0
BELLEVUE HILLhouse201404,2023,201404,0
